Product N,Medication Code,Product Name,Sub Category 1,Sub Category 2,Product ID,Formulation,Strength,Base Rate,NHIA App,NHIA Claim Co-Payment,Claim Amount,NHIA Claim,Bill Effective,Insurance Covered,Is Active
FULL APERTURE TRIAL LENS WITH TRIAL FRAME (NA | FULL APERTURE TRIAL LENS WITH TRIAL FRAME) (763 | FULL APERTURE TRIAL LENS WITH TRIAL FRAME (NA | FULL APERTURE TRIAL LENS WITH TRIAL FRAME)),763,FULL APERTURE TRIAL LENS WITH TRIAL FRAME (NA | FULL APERTURE TRIAL LENS WITH TRIAL FRAME),9,Non-Drug Consumables,763,,,0,,0,,,,no,TRUE
Furosemide  (FUROSEIN1 | Furosemide ),FUROSEIN1,Furosemide  (FUROSEIN1 | Furosemide ),4,Pharmacy,269,Injection,10 mg/mL in 2 mL,5,,3,1.56,,1/3/2025,yes,TRUE
Furosemide Tablet 40mg (FUROSETA1 | Furosemide Tablet 40mg),FUROSETA1,Furosemide Tablet 40mg,4,Pharmacy,270,Tablet,40 mg,0.4,,0.1,0.28,,1/3/2025,yes,TRUE
GALLIPOT (NA | GALLIPOT) (764 | GALLIPOT (NA | GALLIPOT)),764,GALLIPOT (NA | GALLIPOT),9,Non-Drug Consumables,764,,,0,,0,,,,no,TRUE
GAS COOKER BURNER (NA | NA) (1324 | GAS COOKER BURNER (NA | NA)),1324,GAS COOKER BURNER (NA | NA),11,Non-Consumables,1324,,,0,,0,,,,no,TRUE
GAS CYLINDER (NA | NA) (1325 | GAS CYLINDER (NA | NA)),1325,GAS CYLINDER (NA | NA),11,Non-Consumables,1325,,,0,,0,,,,no,TRUE
GAUZE BANDAGE 6'' (NA | NA) (1296 | GAUZE BANDAGE 6'' (NA | NA)),1296,GAUZE BANDAGE 6'' (NA | NA),9,Non-Drug Consumables,1296,,,0,,0,,,,no,TRUE
GAUZE BANDAGE SIZE 3CM ALL (NA | GAUZE BANDAGE SIZE 3CM ALL) (765 | GAUZE BANDAGE SIZE 3CM ALL (NA | GAUZE BANDAGE SIZE 3CM ALL)),765,GAUZE BANDAGE SIZE 3CM ALL (NA | GAUZE BANDAGE SIZE 3CM ALL),9,Non-Drug Consumables,765,,,1.2,,0,,,,no,TRUE
GAUZE BANDAGE SIZE 6CM ALL (NA | GAUZE BANDAGE SIZE 6CM ALL) (766 | GAUZE BANDAGE SIZE 6CM ALL (NA | GAUZE BANDAGE SIZE 6CM ALL)),766,GAUZE BANDAGE SIZE 6CM ALL (NA | GAUZE BANDAGE SIZE 6CM ALL),9,Non-Drug Consumables,766,,,2.4,,0,,,,no,TRUE
GAUZE ROLL 100YARDS (NA | GAUZE ROLL 100YARDS) (767 | GAUZE ROLL 100YARDS (NA | GAUZE ROLL 100YARDS)),767,GAUZE ROLL 100YARDS (NA | GAUZE ROLL 100YARDS),9,Non-Drug Consumables,767,,,1.2,,0,,,,no,TRUE
GAUZE ROLL 50YARDS (NA | GAUZE ROLL 50YARDS) (768 | GAUZE ROLL 50YARDS (NA | GAUZE ROLL 50YARDS)),768,GAUZE ROLL 50YARDS (NA | GAUZE ROLL 50YARDS),9,Non-Drug Consumables,768,,,1.2,,0,,,,no,TRUE
GCR (NA | GCR) (891 | GCR (NA | GCR)),891,GCR (NA | GCR),10,Stationery,891,,,0,,0,,,,no,TRUE
GEIMSE POWDER (NA | GEIMSE POWDER) (654 | GEIMSE POWDER (NA | GEIMSE POWDER)),654,GEIMSE POWDER (NA | GEIMSE POWDER),7,Laboratory Consumables,654,,,0,,0,,,,no,TRUE
Gel tube (NA | NA) (1286 | Gel tube (NA | NA)),1286,Gel tube (NA | NA),7,Laboratory Consumables,1286,,,0,,0,,,,no,TRUE
Gelatin Infusion (Succinylated Gelatin) (GELATIIN1 | Gelatin Infusion (Succinylated Gelatin)) (271 | Gelatin Infusion (Succinylated Gelatin) (GELATIIN1 | Gelatin Infusion (Succinylated Gelatin))),271,Gelatin Infusion (Succinylated Gelatin) (GELATIIN1 | Gelatin Infusion (Succinylated Gelatin)),4,Pharmacy,271,Gel,,0,,0,82.61,,1/3/2025,yes,TRUE
GENE XPECT CARTRIDGES (NA | GENE XPECT CARTRIDGES) (678 | GENE XPECT CARTRIDGES (NA | GENE XPECT CARTRIDGES)),678,GENE XPECT CARTRIDGES (NA | GENE XPECT CARTRIDGES),7,Laboratory Consumables,678,,,0,,0,,,,no,TRUE
Gentamicin Ear  (GENTAMED1 | Gentamicin Ear ),GENTAMED1,Gentamicin Ear  (GENTAMED1 | Gentamicin Ear ),4,Pharmacy,272,Drops,0.003,8,,3,6.62,,1/3/2025,yes,TRUE
Gentamicin Eye Drop 0.3% 5ml (GENTAMID1 | Gentamicin Eye Drop 0.3% 5ml),GENTAMID1,Gentamicin Eye Drop 0.3% 5ml,4,Pharmacy,273,Drops,0.003,7,,0,6.6,,1/3/2025,yes,TRUE
Gentamicin Injection 40mg (GENTAMIN1 | Gentamicin Injection 40mg),GENTAMIN1,Gentamicin Injection 40mg,4,Pharmacy,274,Injection,40 mg/mL in 2 mL,3,,0,2.75,,1/3/2025,yes,TRUE
